"question","category"
"Who received the IEEE Frank Rosenblatt Award in 2010?","Q1_ieee_award_2010"
"Who was the 2010 recipient of the IEEE Frank Rosenblatt Award?","Q1_ieee_award_2010"
"Which individual won the IEEE Frank Rosenblatt Award in 2010?","Q1_ieee_award_2010"
"Who was honored with the IEEE Frank Rosenblatt Award in the year 2010?","Q1_ieee_award_2010"
"Who earned the IEEE Frank Rosenblatt Award in 2010?","Q1_ieee_award_2010"
"Who was awarded the Oceanography Society's Jerlov Award in 2018?","Q2_jerlov_award_2018"
"Who received the Jerlov Award from the Oceanography Society in 2018?","Q2_jerlov_award_2018"
"Which scientist won the Oceanography Society Jerlov Award in 2018?","Q2_jerlov_award_2018"
"Who was the 2018 recipient of the Jerlov Award in oceanography?","Q2_jerlov_award_2018"
"Who earned the Jerlov Award from the Oceanography Society in 2018?","Q2_jerlov_award_2018"
"What's the name of the women's liberal arts college in Cambridge, Massachusetts?","Q3_radcliffe"
"What is the women's liberal arts college located in Cambridge, Massachusetts called?","Q3_radcliffe"
"Which women's liberal arts college was based in Cambridge, Massachusetts?","Q3_radcliffe"
"What women's liberal arts college existed in Cambridge, Massachusetts?","Q3_radcliffe"
"Which college in Cambridge, Massachusetts was a women's liberal arts institution?","Q3_radcliffe"
"In whose honor was the Leipzig 1877 tournament organized?","Q4_leipzig_1877"
"The Leipzig 1877 tournament was held in honor of whom?","Q4_leipzig_1877"
"Who was honored by the Leipzig chess tournament of 1877?","Q4_leipzig_1877"
"The Leipzig 1877 tournament commemorated which person?","Q4_leipzig_1877"
"Which individual was the Leipzig 1877 tournament dedicated to?","Q4_leipzig_1877"
"According to Karl Küchler, what did Empress Elizabeth of Austria's favorite sculpture depict?","Q5_achilleion_sculpture"
"What subject did Empress Elizabeth of Austria's favorite sculpture portray according to Karl Küchler?","Q5_achilleion_sculpture"
"According to Karl Küchler, what was depicted in Empress Elizabeth's favorite sculpture?","Q5_achilleion_sculpture"
"What did the sculpture favored by Empress Elizabeth of Austria depict, per Karl Küchler?","Q5_achilleion_sculpture"
"Per Karl Küchler, what figure was shown in Empress Elizabeth's favorite sculpture?","Q5_achilleion_sculpture"
"How much money was the surgeon ordered to pay Stella Obasanjo's son?","Q6_obasanjo_case"
"What amount in euros was the surgeon required to pay Stella Obasanjo's son?","Q6_obasanjo_case"
"How many euros was the surgeon held liable to pay after Stella Obasanjo's death?","Q6_obasanjo_case"
"What compensation amount was ordered in the Stella Obasanjo case?","Q6_obasanjo_case"
"What sum of money did the court order the surgeon to pay Obasanjo's son?","Q6_obasanjo_case"
"When did Obama tell Christianity Today that he was a devout Christian?","Q7_obama_christianity_today"
"In what month and year did Obama state to Christianity Today that he was a Christian?","Q7_obama_christianity_today"
"When did Obama make his statement about Christianity to Christianity Today?","Q7_obama_christianity_today"
"What date did Obama affirm his Christian faith in Christianity Today?","Q7_obama_christianity_today"
"At what time did Obama express his Christian beliefs to Christianity Today?","Q7_obama_christianity_today"
"Who appointed Chief Justice of India Mirza Hameedullah Beg in 1977?","Q8_cji_appointment"
"Who was responsible for appointing Mirza Hameedullah Beg as Chief Justice of India?","Q8_cji_appointment"
"Which authority appointed Mirza Hameedullah Beg as Chief Justice in 1977?","Q8_cji_appointment"
"Who made the appointment of Mirza Hameedullah Beg as Chief Justice of India?","Q8_cji_appointment"
"Who selected Mirza Hameedullah Beg for the role of Chief Justice in 1977?","Q8_cji_appointment"
"Which former Prime Minister of Iceland worked as cabin crew until 1971?","Q9_iceland_pm"
"Who was the Icelandic Prime Minister that worked as a cabin crew member until 1971?","Q9_iceland_pm"
"What former Icelandic Prime Minister had been a cabin crew member?","Q9_iceland_pm"
"Which Iceland PM worked in cabin crew service before entering politics?","Q9_iceland_pm"
"Who is the former Prime Minister of Iceland known for working as cabin crew until 1971?","Q9_iceland_pm"
"Who defeated Mehbooba Mufti Sayed in the 2019 Lok Sabha elections?","Q10_lok_sabha_2019"
"Against whom did Mehbooba Mufti Sayed lose in the 2019 Lok Sabha elections?","Q10_lok_sabha_2019"
"Who won the 2019 Lok Sabha contest against Mehbooba Mufti Sayed?","Q10_lok_sabha_2019"
"Who beat Mehbooba Mufti Sayed in the 2019 parliamentary election?","Q10_lok_sabha_2019"
"Which candidate defeated Mehbooba Mufti Sayed in 2019?","Q10_lok_sabha_2019"
"How many fouls did Inter commit in the 2010 Champions League final?","Q11_ucl_2010_fouls"
"How many fouls were committed by Inter in the Bayern vs Inter final on May 23, 2010?","Q11_ucl_2010_fouls"
"What was Inter's foul count in the 2010 Champions League final?","Q11_ucl_2010_fouls"
"How many fouls did Inter record during the 2010 Champions League final match?","Q11_ucl_2010_fouls"
"How many fouls were Inter charged with in the 2010 UCL final?","Q11_ucl_2010_fouls"
"What year was Lego part gal56 first released?","Q12_lego_gal56"
"When did the Lego piece with ID gal56 debut?","Q12_lego_gal56"
"In what year did Lego introduce part gal56?","Q12_lego_gal56"
"What is the release year of Lego part gal56?","Q12_lego_gal56"
"When was the gal56 Lego element first made available?","Q12_lego_gal56"
"In which year did Koichi Mizushima receive the Kato Memorial Prize?","Q13_kato_prize"
"When was the Kato Memorial Prize awarded to Koichi Mizushima?","Q13_kato_prize"
"What year did Koichi Mizushima win the Kato Memorial Prize?","Q13_kato_prize"
"In what year was Koichi Mizushima honored with the Kato Memorial Prize?","Q13_kato_prize"
"What is the year Koichi Mizushima received the Kato Memorial Prize?","Q13_kato_prize"
"When did Monash Gallery of Art rebrand as the Museum of Australian Photography?","Q14_mga_rebrand"
"In which year did MGA become the Museum of Australian Photography?","Q14_mga_rebrand"
"What year did Melbourne's Monash Gallery of Art rebrand to MAPh?","Q14_mga_rebrand"
"When was MGA renamed the Museum of Australian Photography?","Q14_mga_rebrand"
"What year marked the rebranding of MGA to MAPh?","Q14_mga_rebrand"
"Who requested the FAA establish a flight restriction over Deepwater Horizon operations?","Q15_faa_tfr"
"Which organization asked the FAA for a temporary flight restriction over Deepwater Horizon?","Q15_faa_tfr"
"Who requested the FAA to implement the Deepwater Horizon flight restriction zone?","Q15_faa_tfr"
"Which authority requested the FAA flight restriction over Deepwater Horizon?","Q15_faa_tfr"
"Who initiated the request for the FAA TFR over Deepwater Horizon?","Q15_faa_tfr"
"What MOBA artwork did Scott Wilson find between two trash cans?","Q16_moba_discovery"
"What signature MOBA piece did Scott Wilson discover on the curb?","Q16_moba_discovery"
"Which artwork did Scott Wilson discover outside between trash cans?","Q16_moba_discovery"
"What famous MOBA work was found by Scott Wilson on the curb?","Q16_moba_discovery"
"What MOBA piece did Scott Wilson recover from the curbside?","Q16_moba_discovery"
"Who scored all of Spain's conversions against Romania in February 2022?","Q17_rugby_conversions"
"Which player scored every conversion for Spain vs Romania in the 2022 Rugby Europe Championship?","Q17_rugby_conversions"
"Who handled all of Spain's conversions in the 2022 match against Romania?","Q17_rugby_conversions"
"Which Spanish player scored all conversions against Romania on February 27, 2022?","Q17_rugby_conversions"
"Who was responsible for all of Spain's conversions in that Romania match?","Q17_rugby_conversions"
"What is the surname of Marie Hanson's psychiatrist in Ally McBeal Season 1 Episode 20?","Q18_ally_mcbeal"
"What last name does Marie Hanson's psychiatrist have in Ally McBeal S1E20?","Q18_ally_mcbeal"
"Which psychiatrist treats Marie Hanson in Ally McBeal Season 1 Episode 20?","Q18_ally_mcbeal"
"What is the psychiatrist's surname who treats Marie Hanson in Ally McBeal?","Q18_ally_mcbeal"
"In Ally McBeal S1E20, what is Marie Hanson's psychiatrist's last name?","Q18_ally_mcbeal"
"What is Andrew Tate's kickboxing name?","Q19_andrew_tate"
"Under what name did Andrew Tate fight in kickboxing?","Q19_andrew_tate"
"What was Andrew Tate's kickboxing alias?","Q19_andrew_tate"
"What ring name did Andrew Tate use in kickboxing?","Q19_andrew_tate"
"What nickname did Andrew Tate compete under in kickboxing?","Q19_andrew_tate"
"What position was John Gilbert Layton appointed to in Quebec from 1969 to 1970?","Q20_layton_position"
"What role did John Gilbert Layton hold in Quebec between 1969 and 1970?","Q20_layton_position"
"Which position did John Gilbert Layton occupy in Quebec during 1969–1970?","Q20_layton_position"
"What appointment did John Gilbert Layton receive in Quebec from 1969 until 1970?","Q20_layton_position"
"What office was John Gilbert Layton appointed to in Quebec during that period?","Q20_layton_position"
